id,city_id,name,marker,coordinates,cable_id
padang-indonesia,9722,"Padang, Indonesia",measle_white,"<Point><coordinates>100.361653,-0.943838</coordinates></Point>",1844
baturaja-indonesia,16284,"Baturaja, Indonesia",measle_white,"<Point><coordinates>103.838995,-5.040320,0</coordinates></Point>",1844
teping-tinggi-indonesia,16285,"Teping Tinggi, Indonesia",measle_white,"<Point><coordinates>99.208235,3.380574</coordinates></Point>",1844
rantu-prapat-indonesia,16286,"Rantu Prapat, Indonesia",measle_white,"<Point><coordinates>99.827864,2.105184</coordinates></Point>",1844
sibolga-indonesia,16287,"Sibolga, Indonesia",measle_white,"<Point><coordinates>98.786654,1.747763</coordinates></Point>",1844
pesaren-indonesia,16014,"Pesaren, Indonesia",measle_white,"<Point><coordinates>105.582744,-1.553896</coordinates></Point>",1833
linao-chile,16013,"Linao, Chile",measle_white,"<Point><coordinates>-73.504475,-41.991084</coordinates></Point>",1830
meimen-chile,16012,"Meimen, Chile",measle_white,"<Point><coordinates>-73.155305,-41.806904</coordinates></Point>",1830
gjirin-e-lalezit-albania,10178,"Gjirin e Lalezit, Albania",measle_white,"<Point><coordinates>19.354172,41.210830,0</coordinates></Point>",1668
kota-kinabalu-malaysia,6009,"Kota Kinabalu, Malaysia",measle_white,"<Point><coordinates>116.074341,5.981354</coordinates></Point>",1851
kota-kinabalu-malaysia,6009,"Kota Kinabalu, Malaysia",measle_white,"<Point><coordinates>116.074341,5.981354</coordinates></Point>",1828
miri-malaysia,7809,"Miri, Malaysia",measle_white,"<Point><coordinates>114.007447,4.425300,0</coordinates></Point>",1828
bintulu-malaysia,7811,"Bintulu, Malaysia",measle_white,"<Point><coordinates>113.068385,3.196981</coordinates></Point>",1828
kuching-malaysia,7808,"Kuching, Malaysia",measle_white,"<Point><coordinates>110.353738,1.520224</coordinates></Point>",1828
canterbury-new-zealand,7855,"Canterbury, New Zealand",measle_white,"<Point><coordinates>171.707322,-43.494208</coordinates></Point>",1487
marlborough-new-zealand,7854,"Marlborough, New Zealand",measle_white,"<Point><coordinates>173.580759,-41.527217</coordinates></Point>",1487
manawatu-wanganui-new-zealand,7853,"Manawatu-Wanganui, New Zealand",measle_white,"<Point><coordinates>175.618258,-39.625460,0</coordinates></Point>",1487
taranaki-new-zealand,7852,"Taranaki, New Zealand",measle_white,"<Point><coordinates>174.371579,-39.287862</coordinates></Point>",1487
waikato-new-zealand,7851,"Waikato, New Zealand",measle_white,"<Point><coordinates>175.534859,-37.915890,0</coordinates></Point>",1487
wellington-new-zealand,4052,"Wellington, New Zealand",measle_white,"<Point><coordinates>174.767086,-41.280537</coordinates></Point>",1487
largs-united-kingdom,15837,"Largs, United Kingdom",measle_white,"<Point><coordinates>-4.867301,55.793342</coordinates></Point>",1827
kilchatten-bay-united-kingdom,15838,"Kilchatten Bay, United Kingdom",measle_white,"<Point><coordinates>-5.028092,55.751839</coordinates></Point>",1827
otter-ferry-united-kingdom,15839,"Otter Ferry, United Kingdom",measle_white,"<Point><coordinates>-5.321207,56.008284</coordinates></Point>",1827
achnaba-united-kingdom,15840,"Achnaba, United Kingdom",measle_white,"<Point><coordinates>-5.365787,56.019416</coordinates></Point>",1827
blackwaterfoot-united-kingdom,15841,"Blackwaterfoot, United Kingdom",measle_white,"<Point><coordinates>-5.332096,55.501936</coordinates></Point>",1827
ardnacross-united-kingdom,15842,"Ardnacross, United Kingdom",measle_white,"<Point><coordinates>-5.533414,55.476546</coordinates></Point>",1827
down-craig-united-kingdom,15843,"Down Craig, United Kingdom",measle_white,"<Point><coordinates>-4.900455,55.780159</coordinates></Point>",1827
corrie-united-kingdom,15844,"Corrie, United Kingdom",measle_white,"<Point><coordinates>-5.141422,55.643635</coordinates></Point>",1827
